voter_identification_verified,voter_identification_id,voter_identification_name,id_requirement_NAME,id_requirement_PHOTO,id_requirement_ADX,id_requirement_CURVAL,id_requirement_ADXORPART,id_requirement_PART_IDENT,null,additional_id_requirement_NEEDS_ADX,additional_id_requirement_NEEDS_IDENT,id_requirement_SIG,null,null,null,null,null,
"No",107,"U.S. military dependent card","X",,,"X","X","X",,,,,,,,,,
"No",109,"Any other official identification card or license issued by a governmental body of the state or unit of the state government","X","X",,"X","X","X",,,,,,,,,,
"No",111,"Other government document or piece of mail from a federal, state or local government body","X",,"X",,,,,,,,,,,,,
"No",112,"Public library card","X",,"X",,,,,,,,,,,,,
"No",117,"Rent receipt ","X",,"X",,,,"X",,"X",,,,,,,
"No",118,"Pre-printed check","X",,"X",,,,"X",,"X",,,,,,,
"No",119,"Credit card statement","X",,"X",,,,"X",,"X",,,,,,,
"No",121,"Any piece of postmarked mail","X",,"X",,,,"X",,"X",,,,,,,
"No",122,"Fee receipt from a university, college or technical institute located within the state","X",,"X",,,,"X",,"X",,,,,,,
,,,,,,,,,,,,,,,,,,
